team_position,name,player_position,start,team_id,actual,player_id
WR1,Justin Jefferson,WR,True,1,24.9,551.0
WR2,Mike Evans,WR,True,1,,1716.0
QB,Jalen Hurts,QB,True,1,25.22,498.0
RB1,Travis Etienne Jr.,RB,True,1,,343.0
RB2,AJ Dillon,RB,True,1,,520.0
RB/WR/TE,Mike Williams,WR,True,1,,1129.0
TE,David Njoku,TE,True,1,,1167.0
BE1,Jamaal Williams,RB,False,1,,1114.0
BE2,Raheem Mostert,RB,False,1,,1651.0
BE3,Elijah Mitchell,RB,False,1,,353.0
BE4,Evan Hull,RB,False,1,,34.0
BE5,Alec Pierce,WR,False,1,,224.0
BE6,DeVante Parker,WR,False,1,,1531.0
BE7,Jimmy Garoppolo,QB,False,1,,1757.0
K,Justin Tucker,K,True,1,,2210.0
D/ST,Bengals D/ST,D/ST,True,1,,5157.0
WR1,Ja'Marr Chase,WR,True,2,,371.0
WR2,DJ Moore,WR,True,2,,935.0
QB,Josh Allen,QB,True,2,,889.0
RB1,Najee Harris,RB,True,2,,344.0
RB2,Khalil Herbert,RB,True,2,,361.0
RB/WR/TE,Terry McLaurin,WR,True,2,,727.0
TE,Cole Kmet,TE,True,2,,582.0
BE1,Rondale Moore,WR,False,2,,373.0
BE2,Samaje Perine,RB,False,2,,1108.0
BE3,Devin Singletary,RB,False,2,,698.0
BE4,D'Onta Foreman,RB,False,2,,1109.0
BE5,Isaiah Hodgins,WR,False,2,,564.0
BE6,Marvin Mims Jr.,WR,False,2,,43.0
BE7,Derek Carr,QB,False,2,,1689.0
K,Daniel Carlson,K,True,2,,981.0
D/ST,Panthers D/ST,D/ST,True,2,,5155.0
BE1,Austin Ekeler,RB,False,3,,1229.0
BE2,Rashaad Penny,RB,False,3,,908.0
BE3,Ezekiel Elliott,RB,False,3,,1302.0
BE4,Deon Jackson,RB,False,3,,367.0
BE5,Jameson Williams,WR,False,3,,
BE6,Jerome Ford,RB,False,3,,170.0
BE7,Donovan Peoples-Jones,WR,False,3,,572.0
QB,Patrick Mahomes,QB,True,3,,1091.0
RB1,Jahmyr Gibbs,RB,True,3,,16.0
RB2,James Cook,RB,True,3,,172.0
TE,Darren Waller,TE,True,3,,1574.0
WR1,Michael Pittman Jr.,WR,True,3,,557.0
WR2,George Pickens,WR,True,3,,219.0
RB/WR/TE,Gabe Davis,WR,True,3,,560.0
D/ST,Packers D/ST,D/ST,True,3,,5162.0
K,Eddy Pineiro,K,True,3,,982.0
RB1,Christian McCaffrey,RB,True,4,,1105.0
RB2,Aaron Jones,RB,True,4,,1194.0
WR1,DeVonta Smith,WR,True,4,23.1,372.0
WR2,Christian Kirk,WR,True,4,,933.0
RB/WR/TE,Alexander Mattison,RB,True,4,4.9,772.0
QB,Justin Herbert,QB,True,4,,494.0
BE1,Brandin Cooks,WR,False,4,,1719.0
BE2,Quentin Johnston,WR,False,4,,42.0
BE3,Zach Charbonnet,RB,False,4,,23.0
BE4,Kenneth Gainwell,RB,False,4,,345.0
BE5,Kyren Williams,RB,False,4,,167.0
BE6,Marquez Valdes-Scantling,WR,False,4,,993.0
BE7,Mecole Hardman Jr.,WR,False,4,,731.0
TE,Dalton Kincaid,TE,True,4,,67.0
K,Evan McPherson,K,True,4,,435.0
D/ST,Commanders D/ST,D/ST,True,4,,5182.0
TE,Travis Kelce,TE,True,6,,1976.0
WR1,Chris Olave,WR,True,6,,211.0
WR2,Courtland Sutton,WR,True,6,,930.0
RB1,Rhamondre Stevenson,RB,True,6,,349.0
RB2,Kenneth Walker III,RB,True,6,,168.0
QB,Justin Fields,QB,True,6,,328.0
RB/WR/TE,Dalvin Cook,RB,True,6,,1103.0
BE1,Zay Flowers,WR,False,6,,44.0
BE2,Jerick McKinnon,RB,False,6,,1758.0
BE3,Jaylen Warren,RB,False,6,,199.0
BE4,Damien Harris,RB,False,6,,693.0
BE5,Greg Dulcich,TE,False,6,,253.0
BE6,Clyde Edwards-Helaire,RB,False,6,,518.0
BE7,Marvin Jones Jr.,WR,False,6,,2123.0
D/ST,Patriots D/ST,D/ST,True,6,,5172.0
K,Dustin Hopkins,K,True,6,,1999.0
WR1,Tyreek Hill,WR,True,7,,1371.0
WR2,Tee Higgins,WR,True,7,,550.0
RB1,Dameon Pierce,RB,True,7,,174.0
RB2,James Conner,RB,True,7,,1121.0
RB/WR/TE,Javonte Williams,RB,True,7,,346.0
TE,Evan Engram,TE,True,7,,1164.0
QB,Dak Prescott,QB,True,7,,1297.0
BE1,Odell Beckham Jr.,WR,False,7,,1724.0
BE2,DJ Chark Jr.,WR,False,7,,968.0
BE3,Russell Wilson,QB,False,7,,2088.0
BE4,Gus Edwards,RB,False,7,,1008.0
BE5,Tank Bigsby,RB,False,7,,18.0
BE6,Sam LaPorta,TE,False,7,,68.0
BE7,Kyler Murray,QB,False,7,,674.0
K,Harrison Butker,K,True,7,,1200.0
D/ST,Buccaneers D/ST,D/ST,True,7,,5180.0
WR1,Davante Adams,WR,True,8,,1720.0
WR2,DK Metcalf,WR,True,8,,720.0
RB/WR/TE,Deebo Samuel,WR,True,8,,754.0
RB1,Miles Sanders,RB,True,8,,697.0
RB2,Tyler Allgeier,RB,True,8,,169.0
IR,Jonathan Taylor,RB,True,8,,517.0
TE,Pat Freiermuth,TE,True,8,,421.0
QB,Kirk Cousins,QB,True,8,28.560000000000002,2085.0
BE1,JuJu Smith-Schuster,WR,False,8,,1131.0
BE2,Darnell Mooney,WR,False,8,,599.0
BE3,De'Von Achane,RB,False,8,,21.0
BE4,Tyjae Spears,RB,False,8,,19.0
BE5,Tyler Conklin,TE,False,8,,975.0
BE6,Mike Gesicki,TE,False,8,,972.0
D/ST,Jets D/ST,D/ST,True,8,,5175.0
K,Greg Zuerlein,K,True,8,,2150.0
RB1,Bijan Robinson,RB,True,9,,15.0
RB2,Cam Akers,RB,True,9,,514.0
WR1,Jaylen Waddle,WR,True,9,,374.0
WR2,Calvin Ridley,WR,True,9,,929.0
TE,T.J. Hockenson,TE,True,9,25.6,756.0
QB,Daniel Jones,QB,True,9,,677.0
BE1,Jakobi Meyers,WR,False,9,,745.0
BE2,Geno Smith,QB,False,9,,1883.0
BE3,Roschon Johnson,RB,False,9,,29.0
BE4,Allen Lazard,WR,False,9,,932.0
BE5,Zach Ertz,TE,False,9,,1979.0
BE6,Craig Reynolds,RB,False,9,,873.0
D/ST,49ers D/ST,D/ST,True,9,,5179.0
K,Graham Gano,K,True,9,,2713.0
RB/WR/TE,Joshua Kelley,RB,True,9,,522.0
RB1,Saquon Barkley,RB,True,10,,904.0
RB2,Joe Mixon,RB,True,10,,1106.0
WR1,Keenan Allen,WR,True,10,,1954.0
WR2,Brandon Aiyuk,WR,True,10,,555.0
BE1,Alvin Kamara,RB,False,10,,1107.0
BE2,Jerry Jeudy,WR,False,10,,548.0
BE3,Gerald Everett,TE,False,10,,1175.0
BE4,Hunter Renfrow,WR,False,10,,741.0
BE5,Jared Goff,QB,False,10,,1288.0
BE6,Jeff Wilson Jr.,RB,False,10,,1061.0
BE7,Salvon Ahmed,RB,False,10,,526.0
QB,Tua Tagovailoa,QB,True,10,,493.0
TE,Tyler Higbee,TE,True,10,,1354.0
RB/WR/TE,Nico Collins,WR,True,10,,380.0
K,Jason Myers,K,True,10,,1871.0
D/ST,Bills D/ST,D/ST,True,10,,5154.0
RB1,Derrick Henry,RB,True,11,,1303.0
RB2,Josh Jacobs,RB,True,11,,691.0
TE,Mark Andrews,TE,True,11,,971.0
RB/WR/TE,Rachaad White,RB,True,11,,178.0
WR1,Marquise Brown,WR,True,11,,723.0
WR2,Drake London,WR,True,11,,208.0
BE1,Jahan Dotson,WR,False,11,,212.0
BE2,Michael Thomas,WR,False,11,,1329.0
BE3,Chigoziem Okonkwo,TE,False,11,,266.0
BE4,Juwan Johnson,TE,False,11,,576.0
BE5,Zay Jones,WR,False,11,,1151.0
BE6,Matthew Stafford,QB,False,11,,2621.0
BE7,Trayveon Williams,RB,False,11,,694.0
QB,Anthony Richardson,QB,True,11,,6.0
D/ST,Cowboys D/ST,D/ST,True,11,,5159.0
K,Cairo Santos,K,True,11,,1837.0
WR1,Stefon Diggs,WR,True,12,,1541.0
WR2,A.J. Brown,WR,True,12,6.9,722.0
QB,Lamar Jackson,QB,True,12,,893.0
BE1,Diontae Johnson,WR,False,12,,770.0
BE2,Treylon Burks,WR,False,12,,209.0
BE3,Parris Campbell,WR,False,12,,730.0
BE4,Jonathan Mingo,WR,False,12,,51.0
BE5,Kenny Pickett,QB,False,12,,150.0
BE6,Chuba Hubbard,RB,False,12,,351.0
TE,George Kittle,TE,True,12,,1187.0
RB1,Isiah Pacheco,RB,True,12,,206.0
RB2,D'Andre Swift,RB,True,12,27.1,512.0
D/ST,Steelers D/ST,D/ST,True,12,,5177.0
K,Tyler Bass,K,True,12,,601.0
RB/WR/TE,Rashee Rice,WR,True,12,,48.0
RB1,Tony Pollard,RB,True,13,,703.0
RB2,David Montgomery,RB,True,13,,689.0
WR1,Amon-Ra St. Brown,WR,True,13,,377.0
WR2,Chris Godwin,WR,True,13,,1138.0
RB/WR/TE,Tyler Lockett,WR,True,13,,1542.0
BE1,Jaxon Smith-Njigba,WR,False,13,,39.0
BE2,Elijah Moore,WR,False,13,,378.0
BE3,Kadarius Toney,WR,False,13,,379.0
BE4,Chase Claypool,WR,False,13,,556.0
BE5,Rashod Bateman,WR,False,13,,383.0
BE6,Raheem Blackshear,RB,False,13,,289.0
BE7,Durham Smythe,TE,False,13,,976.0
TE,Dalton Schultz,TE,True,13,,990.0
QB,Deshaun Watson,QB,True,13,,1088.0
D/ST,Giants D/ST,D/ST,True,13,,5174.0
K,Jake Moody,K,True,13,,80.0
BE1,Cooper Kupp,WR,False,15,,1139.0
BE2,Jordan Addison,WR,False,15,,40.0
BE3,Adam Thielen,WR,False,15,,1832.0
BE4,K.J. Osborn,WR,False,15,,600.0
BE5,Curtis Samuel,WR,False,15,,1132.0
BE6,Zack Moss,RB,False,15,,513.0
BE7,Chase Edmonds,RB,False,15,,986.0
WR1,Garrett Wilson,WR,True,15,,210.0
