name,player_id,pos,fleaflicker_id,espn_id,yahoo_id,sleeper_id
Tanner McKee,1,QB,17761,4685201,40220,9230
Bryce Young,2,QB,17602,4685720,40029,9228
Will Levis,3,QB,17623,4361418,40068,9999
C.J. Stroud,4,QB,17589,4432577,40030,9758
Anthony Richardson,6,QB,17586,4429084,40040,9229
Stetson Bennett,7,QB,17712,4259553,40153,10857
Jaren Hall,8,QB,17796,4373632,40185,9231
Max Duggan,9,QB,17819,4427105,40272,10233
Jake Haener,10,QB,17708,4243322,40144,10215
Malik Cunningham,11,QB,17799,4240069,40290,10860
Dorian Thompson-Robinson,12,QB,17753,4367178,40195,10862
Aidan O'Connell,13,QB,17695,4260394,40138,10866
Clayton Tune,14,QB,17786,4360175,40188,10217
Bijan Robinson,15,RB,17603,4430807,40055,9509
Jahmyr Gibbs,16,RB,17612,4429795,40059,9221
Zach Evans,17,RB,17784,4685035,40243,9222
Tank Bigsby,18,RB,17625,4429013,40095,9225
Tyjae Spears,19,RB,17624,4428557,40119,9508
Sean Tucker,20,RB,18278,4430871,40742,9506
Devon Achane,21,RB,17617,4429160,40118,9226
Israel Abanikanda,22,RB,17718,4429202,40165,9227
Zach Charbonnet,23,RB,17667,4426385,40075,9753
Kenny McIntosh,24,RB,17838,4427391,40267,10216
Kendre Miller,25,RB,17661,4599739,40108,9757
Eric Gray,27,RB,17758,4570561,40198,10223
Chris Rodriguez,28,RB,17762,4362619,40231,10219
Roschon Johnson,29,RB,17716,4426386,40162,10235
Deuce Vaughn,30,RB,17759,4431453,40240,9505
DeWayne McBride,33,RB,17853,4430388,40285,9512
Evan Hull,34,RB,17728,4569609,40169,9220
Chase Brown,35,RB,17756,4362238,40196,9224
Jalin Hyatt,37,WR,17648,4692590,40128,9497
Jayden Reed,38,WR,17674,4362249,40063,10222
Jaxon Smith-Njigba,39,WR,17606,4430878,40041,9488
Jordan Addison,40,WR,17613,4429205,40042,9756
Josh Downs,41,WR,17622,4688813,40126,9500
Quentin Johnston,42,WR,17593,4429025,40051,9754
Marvin Mims,43,WR,17631,4686472,40090,9494
Zay Flowers,44,WR,17595,4429615,40039,9997
Cedric Tillman,45,WR,17643,4369863,40093,10444
Parker Washington,46,WR,17738,4432620,40234,9487
Kayshon Boutte,47,WR,17725,4429022,40224,9504
Rashee Rice,48,WR,17633,4428331,40084,10229
Dontayvion Wicks,49,WR,17792,4428850,40201,9486
A.T. Perry,50,WR,17771,4362019,40242,10863
Jonathan Mingo,51,WR,17656,4426485,40073,10225
Rakim Jarrett,52,WR,18210,4429006,40671,9495
Trey Palmer,53,WR,17767,4426407,40223,9492
Xavier Hutchinson,55,WR,17740,4686422,40232,10218
Ronnie Bell,56,WR,17837,4372063,40279,10221
