fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id,sleeper_id
matt-corral,QB,16877.0,4362874.0,34050.0,8164
kenny-pickett,QB,16811.0,4240703.0,33975.0,8160
sam-howell,QB,16987.0,4426875.0,34100.0,8162
malik-willis,QB,16845.0,4242512.0,34042.0,8161
carson-strong,QB,17296.0,4361435.0,34385.0,8158
bailey-zappe,QB,16908.0,4250360.0,34093.0,8157
desmond-ridder,QB,16880.0,4239086.0,34030.0,8159
brock-purdy,QB,17045.0,4361741.0,34218.0,8183
skylar-thompson,QB,17024.0,4036419.0,34203.0,8206
breece-hall,RB,16834.0,4427366.0,33991.0,8155
isaiah-spiller,RB,16920.0,4426891.0,34079.0,8153
kyren-williams,RB,17004.0,4430737.0,34120.0,8150
tyler-allgeier,RB,16993.0,4373626.0,34107.0,8132
jerome-ford,RB,16974.0,4372019.0,34112.0,8143
zamir-white,RB,16918.0,4361777.0,34078.0,8139
james-cook,RB,16839.0,4379399.0,34019.0,8138
brian-robinson-jr,RB,16875.0,4241474.0,,8154
dameon-pierce,RB,16914.0,4360238.0,34063.0,8129
tyler-badie,RB,16972.0,4362748.0,34152.0,8208
kevin-harris,RB,16946.0,4570674.0,34139.0,8174
hassan-haskins,RB,16913.0,4372071.0,34087.0,8123
rachaad-white,RB,16882.0,4697815.0,34047.0,8136
jerrion-ealy,RB,17262.0,,34434.0,8120
ty-chandler,RB,17020.0,4242431.0,34125.0,8230
snoop-conner,RB,16957.0,4567246.0,34110.0,8179
abram-smith,RB,17229.0,4241224.0,34660.0,8190
jashaun-corbin,RB,17495.0,,34665.0,8194
tyler-goodson,RB,17175.0,,34261.0,
pierre-strong-jr,RB,16909.0,,,8116
keaontay-ingram,RB,17007.0,4362087.0,34157.0,8221
kennedy-brooks,RB,17291.0,,34377.0,8152
jaylen-warren,RB,17137.0,,34447.0,8228
sincere-mccormick,RB,17472.0,,34551.0,8220
dvonte-price,RB,17452.0,,34521.0,8184
tyrion-davis-price,RB,16886.0,4426475.0,34049.0,8211
trestan-ebner,RB,17011.0,4259169.0,34159.0,8189
isaih-pacheco,RB,17029.0,4361529.0,34207.0,8205
drake-london,WR,16823.0,4426502.0,33963.0,8112
treylon-burks,WR,16803.0,4567156.0,33973.0,8135
garrett-wilson,WR,16798.0,4569618.0,33965.0,8146
chris-olave,WR,16824.0,4361370.0,33966.0,8144
jahan-dotson,WR,16821.0,4361409.0,33971.0,8119
jameson-williams,WR,16830.0,4426388.0,33967.0,8148
wandale-robinson,WR,16869.0,4569587.0,33998.0,8126
david-bell,WR,16863.0,4570409.0,34055.0,8118
john-metchie,WR,16849.0,,,8147
khalil-shakir,WR,16947.0,4373678.0,34104.0,8134
george-pickens,WR,16859.0,4426354.0,34007.0,8137
justyn-ross,WR,17266.0,4360306.0,34440.0,8140
skyy-moore,WR,16854.0,4430191.0,34009.0,8168
velus-jonesjr,WR,16898.0,4035693.0,34027.0,8223
alec-pierce,WR,16842.0,4360078.0,34008.0,8142
makai-polk,WR,17100.0,,34403.0,8209
charleston-rambo,WR,17141.0,,34229.0,8198
calvin-austin,WR,16921.0,,,8125
romeo-doubs,WR,16941.0,4361432.0,34088.0,8121
erik-ezukanma,WR,16911.0,4362186.0,34081.0,8114
danny-gray,WR,16887.0,4689546.0,34061.0,8176
bo-melton,WR,17047.0,4259305.0,34185.0,8204
jalen-nailor,WR,17018.0,4382466.0,34147.0,8180
tyquan-thornton,WR,16835.0,4362921.0,34005.0,8188
jalen-tolbert,WR,16872.0,4249417.0,34044.0,8117
christian-watson,WR,16896.0,4248528.0,33989.0,8167
jalen-wydermyer,TE,17365.0,4428952.0,34623.0,8115
trey-mcbride,TE,16895.0,4361307.0,34010.0,8130
charlie-kolar,TE,16923.0,4241263.0,34084.0,8127
jeremy-ruckert,TE,16833.0,4361372.0,34057.0,8145
greg-dulcich,TE,16853.0,4367209.0,34036.0,8172
isaiah-likely,TE,16927.0,4361050.0,34095.0,8131
jake-ferguson,TE,16933.0,4242355.0,34085.0,8110
connor-heyward,TE,16971.0,4241961.0,34163.0,8181
cade-otton,TE,16937.0,4243331.0,34062.0,8111
cole-turner,TE,16988.0,4361438.0,34105.0,8214
grant-calcaterra,TE,16986.0,4241374.0,34154.0,8177
jelani-woods,TE,16841.0,4241410.0,34029.0,8219
samori-toure,WR,17054.0,4027873.0,34214.0,8235
daniel-bellinger,TE,16932.0,4361516.0,34068.0,8225
chigoziem-okonkwo,TE,16912.0,4360635.0,,8210
montrell-washington,WR,16964.0,4248822.0,34118.0,8475
kyle-philips,WR,16956.0,4367175.0,34119.0,8171
james-mitchell,TE,17017.0,4361988.0,34133.0,8170
andrew-ogletree,TE,16951.0,4722908.0,,8489
brittain-brown,RB,17032.0,4036032.0,34206.0,8423
julius-chestnut,RB,17227.0,,34451.0,8254
mataeo-durant,RB,17134.0,4360406.0,34445.0,8233
jordan-mason,RB,17167.0,,34320.0,8408
trevor-lawrence,QB,16242.0,4360310.0,33389.0,7523
justin-fields,QB,16262.0,4362887.0,33399.0,7591
zach-wilson,QB,16233.0,4361259.0,33390.0,7538
trey-lance,QB,16259.0,4383351.0,33391.0,7610
mac-jones,QB,16235.0,4241464.0,33403.0,7527
kyle-trask,QB,16317.0,4034946.0,33452.0,7605
kellen-mond,QB,16335.0,4240904.0,33454.0,7581
feleipe-franks,QB,16380.0,4034948.0,33729.0,7531
ian-book,QB,16365.0,4046678.0,33521.0,7589
shane-buechele,QB,16702.0,,33879.0,8002
sam-ehlinger,QB,16404.0,4241820.0,33606.0,7583
davis-mills,QB,16280.0,4242546.0,33455.0,7585
travis-etienne,RB,16241.0,4239996.0,33413.0,7543
najee-harris,RB,16246.0,4241457.0,33412.0,7528
kenneth-gainwell,RB,16480.0,4371733.0,33538.0,7567
javonte-williams,RB,16282.0,4361579.0,33423.0,7588
