name,player_position,team_position,start,team_id,actual,player_id
Patrick Mahomes,QB,QB,True,1,,1091
Amon-Ra St. Brown,WR,WR1,True,1,,377
Calvin Ridley,WR,WR2,True,1,,929
Nick Chubb,RB,RB1,True,1,,910
Alexander Mattison,RB,RB2,True,1,4.9,772
Dallas Goedert,TE,TE,True,1,8.2,974
Mike Evans,WR,WR/RB/TE,True,1,,1716
Tua Tagovailoa,QB,QB/WR/RB/TE,True,1,,493
Kadarius Toney,WR,BN1,False,1,,379
James Cook,RB,BN2,False,1,,172
Christian Kirk,WR,BN3,False,1,,933
Baker Mayfield,QB,BN4,False,1,,890
Allen Lazard,WR,BN5,False,1,,932
Elijah Moore,WR,BN6,False,1,,378
Cooper Kupp,WR,IR,False,1,,1139
Kirk Cousins,QB,QB,True,4,40.2,2085
CeeDee Lamb,WR,WR1,True,4,,547
Michael Pittman Jr.,WR,WR2,True,4,,557
Tony Pollard,RB,RB1,True,4,,703
David Montgomery,RB,RB2,True,4,,689
George Kittle,TE,TE,True,4,,1187
Justin Jefferson,WR,WR/RB/TE,True,4,24.9,551
Deshaun Watson,QB,QB/WR/RB/TE,True,4,,1088
Brandon Aiyuk,WR,BN1,False,4,,555
Cam Akers,RB,BN2,False,4,,514
Khalil Herbert,RB,BN3,False,4,,361
Ryan Tannehill,QB,BN4,False,4,,2082
Deon Jackson,RB,BN5,False,4,,367
Zay Jones,WR,BN6,False,4,,1151
Greg Dulcich,TE,IR,False,4,,253
Justin Herbert,QB,QB,True,6,,494
Davante Adams,WR,WR1,True,6,,1720
Keenan Allen,WR,WR2,True,6,,1954
Christian McCaffrey,RB,RB1,True,6,,1105
Raheem Mostert,RB,RB2,True,6,,1651
T.J. Hockenson,TE,TE,True,6,25.6,756
DeAndre Hopkins,WR,WR/RB/TE,True,6,,1964
Jared Goff,QB,QB/WR/RB/TE,True,6,,1288
Aaron Jones,RB,BN1,False,6,,1194
Christian Watson,WR,BN2,False,6,,245
JuJu Smith-Schuster,WR,BN3,False,6,,1131
Jerick McKinnon,RB,BN4,False,6,,1758
Odell Beckham Jr.,WR,BN5,False,6,,1724
Desmond Ridder,QB,BN6,False,6,,155
Geno Smith,QB,QB,True,10,,1883
Stefon Diggs,WR,WR1,True,10,,1541
Deebo Samuel,WR,WR2,True,10,,754
Saquon Barkley,RB,RB1,True,10,,904
Josh Jacobs,RB,RB2,True,10,,691
Luke Musgrave,TE,TE,True,10,,69
Dalvin Cook,RB,WR/RB/TE,True,10,,1103
Jordan Love,QB,QB/WR/RB/TE,True,10,,497
David Njoku,TE,BN1,False,10,,1167
Jahan Dotson,WR,BN2,False,10,,212
Matthew Stafford,QB,BN3,False,10,,2621
Mac Jones,QB,BN4,False,10,,331
Marquise Brown,WR,BN5,False,10,,723
Antonio Gibson,RB,BN6,False,10,,567
Dak Prescott,QB,QB,True,3,,1297
Tee Higgins,WR,WR1,True,3,,550
Tyler Lockett,WR,WR2,True,3,,1542
Austin Ekeler,RB,RB1,True,3,,1229
Joe Mixon,RB,RB2,True,3,,1106
Travis Kelce,TE,TE,True,3,,1976
Miles Sanders,RB,WR/RB/TE,True,3,,697
Russell Wilson,QB,QB/WR/RB/TE,True,3,,2088
Evan Engram,TE,BN1,False,3,,1164
Terry McLaurin,WR,BN2,False,3,,727
Isiah Pacheco,RB,BN3,False,3,,206
Jaxon Smith-Njigba,WR,BN4,False,3,,39
Brandin Cooks,WR,BN5,False,3,,1719
Courtland Sutton,WR,BN6,False,3,,930
Jalen Hurts,QB,QB,True,2,28.15,498
Chris Olave,WR,WR1,True,2,,211
Jaylen Waddle,WR,WR2,True,2,,374
Kenneth Walker III,RB,RB1,True,2,,168
Javonte Williams,RB,RB2,True,2,,346
Tyler Higbee,TE,TE,True,2,,1354
DK Metcalf,WR,WR/RB/TE,True,2,,720
Trevor Lawrence,QB,QB/WR/RB/TE,True,2,,327
Rachaad White,RB,BN1,False,2,,178
Kenny Pickett,QB,BN2,False,2,,150
Chris Godwin,WR,BN3,False,2,,1138
Jerry Jeudy,WR,BN4,False,2,,548
Zach Charbonnet,RB,BN5,False,2,,23
Samaje Perine,RB,BN6,False,2,,1108
Lamar Jackson,QB,QB,True,9,,893
Tyreek Hill,WR,WR1,True,9,,1371
Amari Cooper,WR,WR2,True,9,,1530
Jahmyr Gibbs,RB,RB1,True,9,,16
Jamaal Williams,RB,RB2,True,9,,1114
Pat Freiermuth,TE,TE,True,9,,421
Zay Flowers,WR,WR/RB/TE,True,9,,44
Derek Carr,QB,QB/WR/RB/TE,True,9,,1689
Daniel Jones,QB,BN1,False,9,,677
Diontae Johnson,WR,BN2,False,9,,770
D'Andre Swift,RB,BN3,False,9,27.1,512
Kyler Murray,QB,BN4,False,9,,674
Kyren Williams,RB,BN5,False,9,,167
Josh Allen,QB,QB,True,8,,889
DeVonta Smith,WR,WR1,True,8,23.1,372
Darnell Mooney,WR,WR2,True,8,,599
Travis Etienne Jr.,RB,RB1,True,8,,343
Dameon Pierce,RB,RB2,True,8,,174
Dalton Kincaid,TE,TE,True,8,,67
Gabe Davis,WR,WR/RB/TE,True,8,,560
Justin Fields,QB,QB/WR/RB/TE,True,8,,328
Breece Hall,RB,BN1,False,8,,165
DJ Moore,WR,BN2,False,8,,935
Kyle Pitts,TE,BN3,False,8,,419
